date,value
20/8/73,0.6735
21/8/73,0.671
22/8/73,0.658
23/8/73,0.6675
24/8/73,0.666
27/8/73,0.659
28/8/73,0.64
29/8/73,0.6345
30/8/73,0.6387
31/8/73,0.6402
4/9/73,0.6432
5/9/73,0.637
6/9/73,0.636
7/9/73,0.638
10/9/73,0.6335
11/9/73,0.6302
12/9/73,0.6365
13/9/73,0.645
14/9/73,0.6645
17/9/73,0.6575
18/9/73,0.6562
19/9/73,0.6515
20/9/73,0.648
21/9/73,0.6465
24/9/73,0.657
25/9/73,0.673
26/9/73,0.684
27/9/73,0.6855
28/9/73,0.6782
1/10/73,0.68
2/10/73,0.6847
3/10/73,0.6845
4/10/73,0.6812
5/10/73,0.6822
9/10/73,0.677
10/10/73,0.6795
11/10/73,0.6702
12/10/73,0.6507
15/10/73,0.6415
16/10/73,0.6433
17/10/73,0.642
18/10/73,0.6493
19/10/73,0.652
23/10/73,0.652
24/10/73,0.6453
25/10/73,0.6483
26/10/73,0.6478
29/10/73,0.6438
30/10/73,0.6448
31/10/73,0.6505
1/11/73,0.6544
2/11/73,0.6475
5/11/73,0.652
7/11/73,0.655
8/11/73,0.657
9/11/73,0.657
12/11/73,0.661
13/11/73,0.657
14/11/73,0.6413
15/11/73,0.6445
16/11/73,0.647
19/11/73,0.6503
20/11/73,0.64
21/11/73,0.6381
23/11/73,0.641
26/11/73,0.6275
27/11/73,0.628
28/11/73,0.6344
29/11/73,0.6498
30/11/73,0.6534
3/12/73,0.6618
4/12/73,0.6645
5/12/73,0.6655
6/12/73,0.664
7/12/73,0.6718
10/12/73,0.685
11/12/73,0.6735
12/12/73,0.6739
13/12/73,0.6698
14/12/73,0.667
17/12/73,0.6688
18/12/73,0.6693
19/12/73,0.672
20/12/73,0.6728
21/12/73,0.6733
26/12/73,0.6763
27/12/73,0.674
28/12/73,0.6705
31/12/73,0.674
2/1/74,0.689
3/1/74,0.688
4/1/74,0.684
7/1/74,0.6978
8/1/74,0.692
9/1/74,0.6903
10/1/74,0.6958
11/1/74,0.7085
14/1/74,0.7285
15/1/74,0.7195
16/1/74,0.7238
17/1/74,0.719
18/1/74,0.718
21/1/74,0.738
22/1/74,0.731
23/1/74,0.7225
24/1/74,0.7405
25/1/74,0.7485
28/1/74,0.7425
29/1/74,0.7373
30/1/74,0.7328
31/1/74,0.7265
1/2/74,0.7333
4/2/74,0.7533
5/2/74,0.755
6/2/74,0.7405
7/2/74,0.75
8/2/74,0.768
11/2/74,0.788
13/2/74,0.768
14/2/74,0.773
15/2/74,0.78
19/2/74,0.76
20/2/74,0.7425
21/2/74,0.7625
22/2/74,0.7548
25/2/74,0.7476
26/2/74,0.7625
27/2/74,0.7442
28/2/74,0.7347
1/3/74,0.737
4/3/74,0.7181
5/3/74,0.7025
6/3/74,0.719
7/3/74,0.72
8/3/74,0.7248
11/3/74,0.7208
12/3/74,0.7208
13/3/74,0.7233
14/3/74,0.7393
15/3/74,0.7363
18/3/74,0.7433
19/3/74,0.7318
20/3/74,0.7453
21/3/74,0.7653
22/3/74,0.7568
25/3/74,0.7368
26/3/74,0.72
27/3/74,0.734
28/3/74,0.7315
29/3/74,0.749
1/4/74,0.7305
2/4/74,0.7365
3/4/74,0.734
4/4/74,0.7425
5/4/74,0.726
8/4/74,0.708
9/4/74,0.712
10/4/74,0.716
11/4/74,0.714
15/4/74,0.71
16/4/74,0.69
17/4/74,0.6993
18/4/74,0.707
19/4/74,0.7148
22/4/74,0.719
23/4/74,0.704
24/4/74,0.6985
25/4/74,0.699
26/4/74,0.7088
29/4/74,0.7162
30/4/74,0.7246
1/5/74,0.7455
2/5/74,0.744
3/5/74,0.7415
6/5/74,0.7215
7/5/74,0.7285
8/5/74,0.7356
9/5/74,0.7458
10/5/74,0.7463
13/5/74,0.7338
14/5/74,0.7325
15/5/74,0.7125
16/5/74,0.7293
17/5/74,0.7355
20/5/74,0.7278
21/5/74,0.7328
22/5/74,0.731
23/5/74,0.7138
24/5/74,0.7243
28/5/74,0.7165
29/5/74,0.7255
30/5/74,0.7263
31/5/74,0.7313
3/6/74,0.7355
4/6/74,0.7325
5/6/74,0.7393
6/6/74,0.7428
7/6/74,0.7435
10/6/74,0.7505
11/6/74,0.7478
12/6/74,0.7475
13/6/74,0.748
14/6/74,0.7495
17/6/74,0.737
18/6/74,0.717
19/6/74,0.7318
20/6/74,0.726
21/6/74,0.7098
24/6/74,0.6898
25/6/74,0.6752
26/6/74,0.6914
27/6/74,0.6868
28/6/74,0.7054
1/7/74,0.7075
2/7/74,0.711
3/7/74,0.723
5/7/74,0.718
8/7/74,0.698
9/7/74,0.69
10/7/74,0.699
11/7/74,0.719
12/7/74,0.728
15/7/74,0.726
16/7/74,0.7292
17/7/74,0.7328
18/7/74,0.7128
19/7/74,0.6928
22/7/74,0.695
23/7/74,0.68
24/7/74,0.6985
25/7/74,0.69
26/7/74,0.697
29/7/74,0.6908
30/7/74,0.698
31/7/74,0.6925
1/8/74,0.6725
2/8/74,0.6635
5/8/74,0.649
6/8/74,0.646
7/8/74,0.626
8/8/74,0.625
9/8/74,0.6243
12/8/74,0.6047
13/8/74,0.624
14/8/74,0.604
15/8/74,0.599
16/8/74,0.5935
19/8/74,0.582
20/8/74,0.602
21/8/74,0.622
22/8/74,0.642
23/8/74,0.6615
26/8/74,0.7015
27/8/74,0.6942
28/8/74,0.6594
29/8/74,0.6381
30/8/74,0.6048
3/9/74,0.5735
4/9/74,0.5645
5/9/74,0.556
6/9/74,0.5615
9/9/74,0.5625
10/9/74,0.565
11/9/74,0.548
12/9/74,0.538
13/9/74,0.518
16/9/74,0.5017
17/9/74,0.5217
18/9/74,0.5045
19/9/74,0.5245
20/9/74,0.5215
23/9/74,0.5415
24/9/74,0.549
25/9/74,0.569
26/9/74,0.5615
27/9/74,0.562
30/9/74,0.542
1/10/74,0.5445
2/10/74,0.5525
3/10/74,0.565
4/10/74,0.564
7/10/74,0.565
8/10/74,0.585
9/10/74,0.5805
10/10/74,0.5845
11/10/74,0.5844
15/10/74,0.5962
16/10/74,0.5932
17/10/74,0.5858
18/10/74,0.5835
21/10/74,0.574
22/10/74,0.58
23/10/74,0.58
24/10/74,0.5725
25/10/74,0.5665
28/10/74,0.579
29/10/74,0.57
30/10/74,0.5759
31/10/74,0.576
1/11/74,0.572
4/11/74,0.572
6/11/74,0.58
7/11/74,0.5873
8/11/74,0.5965
12/11/74,0.6165
13/11/74,0.5997
14/11/74,0.609
15/11/74,0.608
18/11/74,0.6185
19/11/74,0.632
20/11/74,0.6205
21/11/74,0.6135
22/11/74,0.6075
25/11/74,0.5991
26/11/74,0.5979
27/11/74,0.6089
29/11/74,0.6144
2/12/74,0.6135
3/12/74,0.6077
4/12/74,0.599
5/12/74,0.579
6/12/74,0.5758
9/12/74,0.587
10/12/74,0.579
11/12/74,0.5825
12/12/74,0.5958
13/12/74,0.5913
16/12/74,0.6023
17/12/74,0.5935
18/12/74,0.5968
19/12/74,0.6
20/12/74,0.6015
23/12/74,0.6
27/12/74,0.6013
30/12/74,0.596
31/12/74,0.5962
2/1/75,0.5959
3/1/75,0.5941
6/1/75,0.5865
7/1/75,0.584
8/1/75,0.5825
9/1/75,0.576
10/1/75,0.5728
13/1/75,0.5568
14/1/75,0.565
15/1/75,0.5535
16/1/75,0.5465
17/1/75,0.549
20/1/75,0.546
21/1/75,0.5383
22/1/75,0.537
23/1/75,0.5405
24/1/75,0.5605
27/1/75,0.5523
28/1/75,0.5498
29/1/75,0.553
30/1/75,0.552
31/1/75,0.5475
3/2/75,0.5518
4/2/75,0.549
5/2/75,0.5396
6/2/75,0.54
7/2/75,0.5387
10/2/75,0.537
11/2/75,0.544
13/2/75,0.564
14/2/75,0.557
18/2/75,0.537
19/2/75,0.522
20/2/75,0.5225
21/2/75,0.5275
24/2/75,0.5205
25/2/75,0.523
26/2/75,0.5187
27/2/75,0.516
28/2/75,0.514
3/3/75,0.5075
4/3/75,0.5185
5/3/75,0.513
6/3/75,0.5145
7/3/75,0.522
10/3/75,0.523
11/3/75,0.523
12/3/75,0.516
13/3/75,0.515
14/3/75,0.5085
17/3/75,0.502
18/3/75,0.5092
19/3/75,0.508
20/3/75,0.506
21/3/75,0.5098
24/3/75,0.51
25/3/75,0.514
26/3/75,0.5162
27/3/75,0.519
31/3/75,0.519
1/4/75,0.5105
2/4/75,0.4943
3/4/75,0.5005
4/4/75,0.4885
7/4/75,0.4915
8/4/75,0.484
9/4/75,0.4775
10/4/75,0.47
11/4/75,0.463
14/4/75,0.469
15/4/75,0.475
16/4/75,0.47
17/4/75,0.475
18/4/75,0.4795
21/4/75,0.49
22/4/75,0.4795
23/4/75,0.4735
24/4/75,0.468
25/4/75,0.4739
28/4/75,0.4756
29/4/75,0.4798
30/4/75,0.4855
1/5/75,0.496
2/5/75,0.5
5/5/75,0.5005
6/5/75,0.519
7/5/75,0.5032
8/5/75,0.5143
9/5/75,0.516
12/5/75,0.514
13/5/75,0.5025
14/5/75,0.5075
15/5/75,0.5078
16/5/75,0.5195
19/5/75,0.525
20/5/75,0.5238
21/5/75,0.532
22/5/75,0.545
23/5/75,0.5465
27/5/75,0.546
28/5/75,0.5325
29/5/75,0.535
30/5/75,0.5411
2/6/75,0.54
3/6/75,0.547
4/6/75,0.558
5/6/75,0.561
6/6/75,0.5725
9/6/75,0.5903
10/6/75,0.5845
11/6/75,0.5915
12/6/75,0.585
13/6/75,0.5945
16/6/75,0.5958
17/6/75,0.5758
18/6/75,0.5645
19/6/75,0.5575
20/6/75,0.5545
23/6/75,0.5345
24/6/75,0.5208
25/6/75,0.5376
26/6/75,0.5331
27/6/75,0.5436
30/6/75,0.548
1/7/75,0.5443
2/7/75,0.536
3/7/75,0.5305
7/7/75,0.5413
8/7/75,0.5495
9/7/75,0.5438
10/7/75,0.5405
11/7/75,0.5472
14/7/75,0.5465
15/7/75,0.5448
16/7/75,0.55
17/7/75,0.57
18/7/75,0.59
21/7/75,0.61
22/7/75,0.65
23/7/75,0.69
24/7/75,0.73
25/7/75,0.77
28/7/75,0.81
29/7/75,0.8223
30/7/75,0.8345
31/7/75,0.8405
1/8/75,0.849
4/8/75,0.879
5/8/75,0.854
6/8/75,0.85
7/8/75,0.8335
8/8/75,0.848
11/8/75,0.839
12/8/75,0.836
13/8/75,0.8375
14/8/75,0.8435
15/8/75,0.862
18/8/75,0.8665
19/8/75,0.8617
20/8/75,0.86
21/8/75,0.8437
22/8/75,0.8385
25/8/75,0.821
26/8/75,0.8337
27/8/75,0.8415
28/8/75,0.8434
29/8/75,0.8376
2/9/75,0.823
3/9/75,0.8015
4/9/75,0.816
5/9/75,0.8135
8/9/75,0.7945
9/9/75,0.797
10/9/75,0.784
11/9/75,0.785
12/9/75,0.8051
15/9/75,0.822
16/9/75,0.8247
17/9/75,0.8178
18/9/75,0.822
19/9/75,0.8335
22/9/75,0.829
23/9/75,0.8365
24/9/75,0.829
25/9/75,0.8248
26/9/75,0.8215
29/9/75,0.816
30/9/75,0.8093
1/10/75,0.809
2/10/75,0.811
3/10/75,0.819
6/10/75,0.8215
7/10/75,0.8115
8/10/75,0.8
9/10/75,0.81
10/10/75,0.8125
14/10/75,0.81
15/10/75,0.805
16/10/75,0.8137
17/10/75,0.8187
20/10/75,0.8122
21/10/75,0.8095
22/10/75,0.8035
23/10/75,0.8055
24/10/75,0.802
27/10/75,0.8075
28/10/75,0.808
29/10/75,0.8119
30/10/75,0.8083
31/10/75,0.801
3/11/75,0.791
5/11/75,0.7765
6/11/75,0.7737
7/11/75,0.773
10/11/75,0.7715
12/11/75,0.757
13/11/75,0.7582
14/11/75,0.767
17/11/75,0.7665
18/11/75,0.7753
19/11/75,0.7685
20/11/75,0.7825
24/11/75,0.7775
25/11/75,0.777
26/11/75,0.7802
28/11/75,0.8012
1/12/75,0.7935
2/12/75,0.7965
3/12/75,0.7968
4/12/75,0.7948
5/12/75,0.794
8/12/75,0.81
9/12/75,0.8088
10/12/75,0.8235
11/12/75,0.826
12/12/75,0.8345
15/12/75,0.8545
16/12/75,0.8605
17/12/75,0.8548
18/12/75,0.8715
19/12/75,0.8686
22/12/75,0.879
23/12/75,0.8775
24/12/75,0.875
29/12/75,0.871
30/12/75,0.871
31/12/75,0.8725
5/1/76,0.871
6/1/76,0.869
7/1/76,0.889
8/1/76,0.909
9/1/76,0.9165
12/1/76,0.9365
13/1/76,0.932
14/1/76,0.9447
15/1/76,0.941
16/1/76,0.945
19/1/76,0.965
20/1/76,0.967
21/1/76,0.9562
22/1/76,0.9505
23/1/76,0.935
26/1/76,0.9175
27/1/76,0.9375
28/1/76,0.9535
29/1/76,0.9465
30/1/76,0.95
2/2/76,0.9675
3/2/76,0.9605
4/2/76,0.9745
5/2/76,0.9895
6/2/76,1.0095
9/2/76,1.0295
10/2/76,1.0133
11/2/76,1.023
13/2/76,1.0335
17/2/76,1.0135
18/2/76,1.0105
19/2/76,1.0114
20/2/76,0.9914
23/2/76,0.9835
24/2/76,0.988
25/2/76,0.973
26/2/76,0.9551
27/2/76,0.9627
1/3/76,0.9515
2/3/76,0.9657
3/3/76,0.971
4/3/76,0.983
5/3/76,0.988
8/3/76,0.9815
9/3/76,0.9854
10/3/76,0.986
11/3/76,0.974
12/3/76,0.9793
15/3/76,0.9612
16/3/76,0.961
17/3/76,0.981
18/3/76,0.998
19/3/76,0.996
22/3/76,1.016
23/3/76,1.0245
24/3/76,1.039
25/3/76,1.0413
26/3/76,1.0392
29/3/76,1.0592
30/3/76,1.067
31/3/76,1.087
1/4/76,1.107
2/4/76,1.1235
5/4/76,1.1435
6/4/76,1.1635
7/4/76,1.1475
8/4/76,1.1675
9/4/76,1.1875
12/4/76,1.2075
13/4/76,1.198
14/4/76,1.218
15/4/76,1.2355
19/4/76,1.2555
20/4/76,1.2755
21/4/76,1.2555
22/4/76,1.2755
23/4/76,1.2835
26/4/76,1.339
27/4/76,1.3047
28/4/76,1.2753
29/4/76,1.2915
30/4/76,1.2593
3/5/76,1.225
4/5/76,1.2445
5/5/76,1.2745
6/5/76,1.3045
7/5/76,1.3345
10/5/76,1.3375
11/5/76,1.3515
12/5/76,1.3815
13/5/76,1.401
14/5/76,1.395
17/5/76,1.3845
18/5/76,1.3545
19/5/76,1.3455
20/5/76,1.3755
21/5/76,1.4025
24/5/76,1.3915
25/5/76,1.4213
26/5/76,1.413
27/5/76,1.383
28/5/76,1.4105
1/6/76,1.403
2/6/76,1.405
3/6/76,1.414
4/6/76,1.404
7/6/76,1.391
8/6/76,1.421
9/6/76,1.451
10/6/76,1.481
11/6/76,1.511
14/6/76,1.501
15/6/76,1.5075
16/6/76,1.5375
17/6/76,1.56
18/6/76,1.565
21/6/76,1.554
22/6/76,1.546
23/6/76,1.516
24/6/76,1.5
25/6/76,1.5374
28/6/76,1.5248
29/6/76,1.513
30/6/76,1.5276
1/7/76,1.529
2/7/76,1.5125
6/7/76,1.4825
7/7/76,1.4525
8/7/76,1.4415
9/7/76,1.4115
12/7/76,1.3815
13/7/76,1.3515
14/7/76,1.3235
15/7/76,1.2935
16/7/76,1.2635
19/7/76,1.2335
20/7/76,1.2635
21/7/76,1.279
22/7/76,1.2635
23/7/76,1.2935
26/7/76,1.3235
27/7/76,1.3405
28/7/76,1.3705
29/7/76,1.4005
30/7/76,1.4175
2/8/76,1.4475
3/8/76,1.441
4/8/76,1.464
5/8/76,1.4795
6/8/76,1.502
9/8/76,1.472
10/8/76,1.4765
11/8/76,1.486
12/8/76,1.516
13/8/76,1.546
16/8/76,1.576
17/8/76,1.606
18/8/76,1.605
19/8/76,1.61
20/8/76,1.5802
23/8/76,1.57
24/8/76,1.5965
25/8/76,1.675
26/8/76,1.6216
27/8/76,1.561
30/8/76,1.5194
31/8/76,1.5128
1/9/76,1.4998
2/9/76,1.5298
3/9/76,1.5385
7/9/76,1.5685
8/9/76,1.5785
9/9/76,1.557
10/9/76,1.587
13/9/76,1.5775
14/9/76,1.5555
15/9/76,1.5515
16/9/76,1.549
17/9/76,1.53
20/9/76,1.5
21/9/76,1.5125
22/9/76,1.532
23/9/76,1.562
24/9/76,1.616
27/9/76,1.67
28/9/76,1.6495
